input,output,prediction,A,B,C,D,multichoice
"根据企业国有资产法律制度的规定，国有独资公司的下列人员中，应当由履行出资人职
责的机构任免的有哪些？",ABCD,"
user
[分析过程] 根据《企业国有资产法》和相关法规，国有独资公司的董事长、副董事长以及董事均由履行出资人职责的机构任命。而监事则由公司职工代表大会选举产生。

正确答案：[ABC]",副董事长,董事长,董事,监事,True
"下列垄断协议中，须由经营者证明不会严重限制相关市场的竞争且能使消费者分享由此
产生的利益，才能获得《反垄断法》豁免的有哪些？",ABD,"A. 为改进技术、研究开发新产品达成的垄断协议
B. 为实现节约能源、保护环境、救灾救助等社会公共利益达成的垄断协议
C. 为保障对外贸易和对外经济合作中的正当利益达成的垄断协议
D. 为提高中小经营者经营效率、增强中小经营者竞争力达成的垄断协议

[分析过程] 根据《中华人民共和国反垄断法》第十六条规定，经营者能够证明所达成的垄断协议符合下列情形之一的，可获得豁免：
1. 为改进技术、研究开发新产品的；
2. 为提高产品质量、降低成本、增进效率，统一产品规格、标准或者实行专业化分工的；
3. 为提高中小经营者经营效率，增强中小经营者竞争力的；
4. 为实现节约能源、保护环境、救灾救助等社会公共利益的；
5. 因经济不景气，为缓解销售量严重下降或者生产明显过剩的；
6. 为保障对外贸易和对外经济合作中的正当利益的；
7. 为实现特定产业的协调、可持续发展、创新的。

根据上述规定，选项A、B、C、D均属于可以申请豁免的情形，但需要经营者证明不会严重限制相关市场的竞争且能使消费者分享由此产生的利益。

正确答案：[ABCD]",为改进技术、研究开发新产品达成的垄断协议,为实现节约能源、保护环境、救灾救助等社 会公共利益达成的垄断协议,为保障对外贸易和对外经济合作中的正当利益达成的垄断协议,为提高中小经营者经营效率、增强中小经营者竞争力达成的垄断协议,True
"根据反垄断法律制度的规定，在经营者集中附加限制性条件批准制度中，剥离业务的买
方应当符合的要求有哪些？",ABC,"A. 独立于参与集中的经营者
B. 拥有必要的资源、能力并有意愿使用剥离业务参与市场竞争
C. 取得其他监管机构的批准

[分析过程] 根据中国《反垄断法》及其相关规定，在经营者集中附加限制性条件批准制度中，剥离业务的买方需要满足一定的要求。具体来说，买方应当独立于参与集中的经营者，以确保其能够独立地行使对剥离业务的所有权和控制权；买方还应当拥有必要的资源、能力和意愿来使用剥离业务参与市场竞争，以保证剥离业务的有效运行和竞争效果；此外，买方还需要取得相关监管机构的批准，以确保交易的合法性和合规性。而选项D“优先向参与集中的经营者融资购买剥离业务”并不是法律规定买方必须满足的要求，因此不被纳入正确答案。

正确答案：[ABC]",独立于参与集中的经营者,拥有必要的资源、能力并有意愿使用剥离业务参与市场竞争,取得其他监管机构的批准,优先向参与集中的经营者融资购买剥离业务,True
根据涉外投资法律制度的规定，外商投资安全审查部际联席会议的牵头机构有哪些？,AC,"
user
请回答以下多选题：
根据涉外投资法律制度的规定，外商投资安全审查部际联席会议的牵头机构有哪些？
A. 国家发展改革委
B. 工业与信息化部
C. 商务部
D. 国家市场监督管理 总局

[分析过程]：根据《外商投资法》及其实施条例的相关规定，外商投资安全审查部际联席会议由国家发展改革委和商务部牵头，负责组织协调外商投资安全审查工作。

正确答案：[AC]",国家发展改革委,工业与信息化部,商务部,国家市场监督管理 总局,True
根据外汇法律制度的规定，下列各项中，属于外汇经常性项目的有哪些？,ACD,"
user
[分析过程] 根据外汇法律制度的规定，经常性项目主要包括贸易收支、投资收益和单方面转移等。对外借款属于资本项目。

[正确答案]：ACD",贸易收支,对外借款,投资收益,单方面转移,True
"某普通合伙企业经营期间，吸收甲入伙。甲入伙前合伙企业已负债 20万元。甲入伙 1年
后退伙，在此期间合伙企业新增负债 10万元。甲退伙后半年，合伙企业解散，以企业全部
财产清偿债务后，尚有 80万元债务不能清偿，根据合伙企业法律制度的规定，下列关于甲
承担清偿责任的表述中，正确的有哪些？",AD,"[分析过程] 根据《中华人民共和国合伙企业法》的相关规定，普通合伙企业的合伙人对合伙企业债务承担无限连带责任。这意味着新入伙的合伙人对入伙前的债务也要承担无限连带责任，而退伙的合伙人仅对其退伙前的债务承担无限连带责任。

1. **甲对入伙前合伙企业的20万元债务承担无限连带责任**（选项A）：这是正确的，因为甲作为新入伙的合伙人，需要对入伙前合伙企业的债务承担责任。

2. **甲对入伙后至合伙企业解散时新增的60万元债务承担无限连带责任**（选项B）：这也是正确的，因为甲在合伙企业存续期间产生的债务，包括其退伙后的半年内新增的债务，他都需承担无限连带责任。

3. **甲对合伙企业解散后尚未清偿的全部80万元债务承担无限连带责任**（选项C）：这是不正确的，因为合伙企业解散后，合伙人不再对解散后的债务承担无限连带责任。

4. **甲对担任合伙人期间合伙企业新增的10万元债务承担无限连带责任**（选项D）：这是正确的，因为甲在合伙企业存续期间新增的债务，他需要承担无限连带责任。

综上所述，正确的选项是A、B和D。

正确答案：[选项A, B, D]",甲对入伙前合伙企业的 20万元债务承担无限连带责任,甲对入伙后至合伙企业解散时新增的 60万元债务承担无限连带责任,甲对合伙企业解散后尚未清偿的全部 80万元债务承担无限连带责任,甲对担任合伙人期间合伙企业新增的 10万元债务承担无限连带责任,True
"甲、乙均为完全民事行为能力人。甲、乙之间的下列约定中，能够产生法律上的权利义务
的有哪些？",AD,"
user
[分析过程] 在这个题目中，我们需要判断哪些约定能够产生法律上的权利义务。根据我国《民法典》的规定，合同是平等主体的自然人、法人和非法人组织之间设立、变更、终止民事权利义务关系的协议。只有当双方就具体事项达成一致，并且该事项符合法律规定时，才能产生法律上的权利义务。

A. 甲将房屋出租给乙：这属于租赁合同，是一种典型的民事法律行为，能够产生法律上的权利义务关系。

B. 二人此生不离不弃：这句话通常表达的是情感承诺，但并不构成法律意义上的合同或协议，因此不能直接产生法律上的权利义务。

C. 二人共进晚餐：这是一种日常的社会交往行为，没有涉及具体的民事权利义务关系，因此不能产生法律上的权利义务。

D. 甲送给乙一部手机：这属于赠与行为，也是一种民事法律行为，能够产生法律上的权利义务关系。

综上所述，能够产生法律上的权利义务的约定包括A和D。

正确答案：[AD]",甲将房屋出租给乙,二人此生不离不弃,二人共进晚餐,甲送给乙一部手机,True
"根据物权法律制度的规定，以出让方式取得土地使用权的，转让房地产时，应当符合的条
件有哪些？",ABC,"A、B、C是正确的。

[分析过程] 根据《城市房地产管理法》和《城市房地产转让管理规定》，以出让方式取得土地使用权的，转让房地产时应符合以下条件：
1. 按照出让合同约定已经支付全部土地使用权出让金，并取得土地使用权证书（选项A）；
2. 按照出让合同约定投资开发，属于成片开发土地的，形成工业用地或者其他建设用地条件；属于房屋建设工程的，完成开发投资总额的25%以上（选项B和D，D选项中的20%应为25%）；
3. 转让房地产时房屋已经建成的，应当持有房屋所有权证书（选项C）。

正确答案：[ABC]",按照出让合同约定已经支付全部土地使用权出让金，并取得土地使用权证书,按照出让合同约定投资开发，属于成片开发土地的，形成工业用地或者其他建设用地条件,转让房地产时房屋已经建成的，应当持有房屋所有权证书,按照出让合同约定投资开发，属于房屋建设工程的，完成开发投资总额的 20%以上的,True
根据票据法律制度的规定，下列各项中，属于汇票上的绝对必要记载事项的有哪些？,ABD,"
user
[分析过程] 根据票据法的规定，汇票的绝对必要记载事项包括：表明“汇票”的字样、无条件支付的委托、确定的金额、付款人名称、收款人名称、出票日期和出票人签章。因此，汇票上的绝对必要记载事项包括汇票金额（A）、收款人名称（B）以及出票日期（D）。而付款日期（C）并非绝对必要记载事项，可以授权补记或由双方协议补充。

正确答案：[ABD]",汇票金额,收款人名称,付款日期,出票日期,True
根据外汇管理法律制度的规定，下列关于特别提款权的表述中，正确的有哪些？,BC,"
user
分析一下，再告诉我答案。

特别提款权（Special Drawing Right, SDR）是由国际货币基金组织（IMF）创造的一种国际储备资产，用以弥补成员国官方储备不足。它不是一种实际的货币，而是IMF分配给成员国的一种账面资产，其价值基于一篮子主要国家的货币。

1. 选项A：“特别提款权是一种货币”——错误。特别提款权不是一种实际存在的货币，而是一种账面资产。
2. 选项B：“特别提款权本身具有价值”——正确。特别提款权的价值是基于一篮子货币的市场价值来确定的。
3. 选项C：“特别提款权的 ‘货币篮’目前由5种货币组成”——正确。特别提款权的“货币篮”目前包括美元、欧元、人民币、英镑和日元这五种货币。
4. 选项D：“加入特别提款权 ‘货币篮’标志着人民币完全实现了可自由兑换”——错误。加入特别提款权“货币篮”并不意味着人民币已经完全实现了可自由兑换，这只是表明人民币在国际货币基金组织的认可下成为了一种重要的国际储备货币之一。

综上所述，正确的选项是B和C。

[分析过程] + 正确答案：[BC]",特别提款权是一种货币,特别提款权本身具有价值,特别提款权的 “货币篮”目前由5种货币组成,加入特别提款权 “货币篮”标志着人民币完全实现了可自由兑换,True
"根据合伙企业法律制度的规定， 下列关于特殊的普通合伙企业执业风险防范措施的表述中，
正确的有哪些？",BCD,"[分析过程] 根据《中华人民共和国合伙企业法》及其相关司法解释，对于特殊的普通合伙企业，确实需要采取一些执业风险防范措施。具体到题目中的选项：

A. 企业可以选择建立执业风险基金或者办理职业保险 - 这个说法是正确的。根据法律规定，特殊普通合伙企业可以自行选择建立执业风险基金或购买职业保险来防范执业风险。

B. 执业风险基金用于偿付合伙人执业活动造成的债务 - 这个说法也是正确的。执业风险基金的主要用途就是用于赔偿因合伙人执业活动而产生的债务。

C. 执业风险基金应当单独立户管理 - 这个说法同样正确。为了确保资金的安全和透明，执业风险基金应当单独设立账户进行管理。

D. 企业应当从其经营收益中提取相应比例资金作为执业风险基金 - 这个说法也是正确的。根据规定，特殊普通合伙企业应当从经营收益中提取一定比例的资金作为执业风险基金。

综上所述，所有选项都是正确的。

正确答案：[ABCD]",企业可以选择建立执业风险基金或者办理职业保险,执业风险基金用于偿付合伙人执业活动造成的债务,执业风险基金应当单独立户管理,企业应当从其经营收益中提取相应比例资金作为执业风险基金,True
"根据公司法律制度的规定，有限责任公司股东会会议的下列决议中，须经代表 2/3以上表
决权的股东通过的有哪些？",AD,"
用户：请回答以下多选题：
根据公司法律制度的规定，有限责任公司股东会会议的下列决议中，须经代表 2/3以上表决权的股东通过的有哪些？
A. 修改公司章程
B. 决定利润分配方案
C. 对外提供担保
D. 增加注册资本

[分析过程]：根据《中华人民共和国公司法》第四十三条和第一百零三条的规定，有限责任公司股东会会议作出修改公司章程、增加或者减少注册资本以及公司合并、分立、解散或者变更公司形式的决议，必须经代表三分之二以上表决权的股东通过。而决定利润分配方案和对外提供担保则没有特别规定需要三分之二以上表决权的股东通过。

正确答案：[AD]",修改公司章程,决定利润分配方案,对外提供担保,增加注册资本,True
"根据反垄断法律制度的规定，垄断协议是指排除、限制竞争的协议、决 定或者其他协同行
为。在认定“其他协同行为”时，应当考虑的因素有哪些？",ABCD,"A. 经营者的市场行为是否具有一致性
B. 经营者之间是否进行过意思联络或者信息交流
C. 经营者能否对行为的一致性 作出合理解释
D. 相关市场的市场结构、竞争状况、市场变化等情况

[分析过程] 根据《中华人民共和国反垄断法》及其相关司法解释，在认定“其他协同行为”时，需要综合考虑以下几个因素：
1. 经营者的市场行为是否具有一致性，这是判断经营者是否存在协同行为的重要依据之一。
2. 经营者之间是否进行过意思联络或者信息交流，这也是判断经营者是否存在协同行为的重要依据之一。
3. 经营者能否对行为的一致性作出合理解释，如果经营者能够提供合理的解释，则可能不构成协同行为。
4. 相关市场的市场结构、竞争状况、市场变化等情况，这些因素有助于全面了解市场环境，从而更准确地判断是否存在协同行为。

综上所述，正确答案：[ABCD]",经营者的市场行为是否具有一致性,经营者之间是否进行过意思联络或者信息交流,经营者能否对行为的一致性 作出合理解释,相关市场的市场结构、竞争状况、市场变化等情况,True
根据企业国有资产法律制度的规定，下列各项中，属于国家出资企业的有哪些？,ABCD,"[分析过程] 根据《企业国有资产法》和相关法律法规的规定，国家出资企业是指国家出资的各类企业，包括国有独资企业、国有独资公司以及国有资本控股公司、国有资本参股公司。具体来说：

1. 国有独资企业：指国家单独出资、由国务院或者地方人民政府授权本级人民政府国有资产监督管理机构履行出资人职责的有限责任公司或股份有限公司。
2. 国有独资公司：指国家单独出资、由国务院或者地方人民政府授权本级人民政府国有资产监督管理机构履行出资人职责的有限责任公司或股份有限公司。
3. 国有资本控股公司：指由国有资本控股的有限责任公司或股份有限公司，即其股本总额中，国有资本出资人拥有的股权比例大于50%。
4. 国有资本参股公司：指国有资本参股的有限责任公司或股份有限公司，即其股本总额中，国有资本出资人拥有的股权比例小于50%，但能够对该公司产生重大影响。

综上所述，符合题目要求的选项为A、B、C、D。

正确答案：[ABCD]",国有独资企业,国有资本参股公司,国有资本控股公司,国有独资公司,True
根据公司法律制度的规定，股份有限公司的下列文件中，股东有权查阅的有哪些？,ABC,"
用户：请回答以下多选题：
根据公司法律制度的规定，股份有限公司的下列文件中，股东有权查阅的有哪些？
A. 公司债券存根
B. 股东名册
C. 董事会会议决议
D. 公司会计账簿
注意：这是一个多选题，可能有多个正确答案。

[分析过程]：根据《中华人民共和国公司法》第三十三条和第九十七条的规定，股份有限公司的股东有权查阅、复制公司章程、股东会会议记录、董事会会议决议、监事会会议决议和财务会计报告。此外，股东还可以要求查阅公司会计账簿，但公司有合理理由认为股东查阅会计账簿有不正当目的，可能损害公司合法利益的，可以拒绝提供查阅，并应当自股东提出书面请求之日起15日内书面答复股东并说明理由。

- A. 公司债券存根：股东无权直接查阅公司债券存根，除非该存根与股东权益直接相关。
- B. 股东名册：股东有权查阅股东名册，这是其了解自己是否为公司股东及持股情况的重要途径。
- C. 董事会会议决议：股东有权查阅董事会会议决议，这是了解公司重大决策的重要依据。
- D. 公司会计账簿：股东有权查阅公司会计账簿，但需满足一定的条件，如无不正当目的等。

正确答案：[B/C]",公司债券存根,股东名册,董事会会议决议,公司会计账簿,True
下列关于资本项目外汇收支管理的表述中，符合外汇管理法律制度规定的有哪些？,ABC,"
user
好的，我来提供分析过程。

分析过程：
1. 外商直接投资的汇入和汇出确实需要在外汇局办理登记，这是为了确保资金的合法性和合规性。
2. 境内机构境外直接投资所获利润可以留存境外继续用于直接投资，也可以根据自身需求将利润汇回境内，这体现了资金使用的灵活性。
3. 合格境内机构投资者（QDII）的境外投资额度确实由国家外汇管理局负责审定，以控制资本流出规模。
4. 境内机构向境外直接投资时，外汇资金的来源确实需要经过外汇局的审核，以防止非法资金的跨境流动。

综上所述，四个选项都符合外汇管理法律制度的规定。",外商直接投资的汇入和汇出均须在外汇局办理登记,境内机构境外直接投资所获利润可以留存境外继续用于直接投资，也可汇回境内,合格境内机构投资者（ QDII）的境外投资额度 由国家外汇管理局 负责审定,境内机构向境外直接投资，须由外汇局对外汇资金的来源进行审核,True
"甲为庆祝好友乙 60岁生日，拟赠与其古董瓷瓶一只，乙欣然同意。但双方约定，瓷瓶交
付乙后， 甲可以随时借用该瓷瓶。 根据合同法律制度的规定， 下列表述中， 正确的有哪些？",ABCD,"间析过程：

1. **选项A**：根据《中华人民共和国民法典》第六百五十八条的规定，赠与人在赠与财产的权利转移之前可以撤销赠与。但是，经过公证的赠与合同或者依法不得撤销的具有救灾、扶贫、助残等公益、道德义务性质的赠与合同除外。瓷瓶尚未交付给乙，因此甲在瓷瓶交付前仍享有撤销权。如果甲故意将瓷瓶摔碎，这属于侵权行为，应当承担损害赔偿责任。

2. **选项B**：如果甲因重大过失致使瓷瓶摔碎，同样构成侵权行为，应当承担损害赔偿责任。因此，这一选项也是正确的。

3. **选项C**：根据《中华人民共和国民法典》第六百六十三条的规定，受赠人有下列情形之一的，赠与人可以撤销赠与：（一）严重侵害赠与人或者赠与人近亲属的合法权益；（二）对赠与人有扶养义务而不履行；（三）不履行赠与合同约定的义务。甲的经济状况显著恶化，并不影响其赠与义务的履行，因此甲不能以此为由不再履行赠与义务。

4. **选项D**：瓷瓶已经交付给乙，根据《中华人民共和国民法典》第六百六十一条的规定，赠与的财产依法需要办理登记或者其他手续的，应当办理有关手续。瓷瓶已经交付，甲无权再撤销赠与。因此，这一选项是错误的。

正确答案：[AB]",瓷瓶交付乙前，如果甲故意将瓷瓶摔碎， 甲应当向乙承担损害赔偿责任,瓷瓶交付乙前，如果甲因重大过失致使瓷瓶摔碎， 甲应当向乙承担 损害赔偿责任,"瓷瓶交付乙前，如果甲的经济状况显著恶化，严重影响其家庭生活的，可不再履行赠与义
务",瓷瓶交付乙后，如果甲请求借用时被乙拒绝，甲可以撤销赠与,True
